,country,year,region,happiness_rank,happiness_score,GDP_per_capita,Family,life_expectancy,Freedom,trust_in_government,Generosity,country_code,suicide_rate_100k,mental_disorder_rate_100k,continent
46,Gabon,2015,Sub-Saharan Africa,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,GAB,10.94282162,15156.46533,Africa
47,Georgia,2015,Central and Eastern Europe,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,GEO,6.803683138,12956.28932,Asia
48,Germany,2015,Western Europe,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,DEU,10.55655768,16146.33896,Europe
49,Ghana,2015,Sub-Saharan Africa,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,GHA,8.464306672,14476.84463,Africa
50,Greece,2015,Western Europe,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,GRC,3.734466779,16084.34362,Europe
51,Guatemala,2015,Latin America and Caribbean,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,GTM,6.970399924,14199.70157,Americas
52,Guinea,2015,Sub-Saharan Africa,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,GIN,9.639423298,15017.32496,Africa
53,Haiti,2015,Latin America and Caribbean,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,HTI,9.82940973,15647.34597,Americas
54,Honduras,2015,Latin America and Caribbean,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,HND,4.615130746,12927.1444,Americas
55,Hungary,2015,Central and Eastern Europe,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,HUN,18.1891803,13613.06742,Europe
56,Iceland,2015,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,ISL,10.87745293,15348.43409,Europe
57,India,2015,Southern Asia,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,IND,18.22081319,14767.65566,Asia
58,Indonesia,2015,Southeastern Asia,74,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,IDN,3.554670156,12328.55137,Asia
59,Iran,2015,Middle East and Northern Africa,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,IRN,5.966863767,18794.14604,Asia
60,Iraq,2015,Middle East and Northern Africa,112,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,IRQ,9.692986017,15902.19098,Asia
61,Ireland,2015,Western Europe,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,IRL,9.96077709,17091.26552,Europe
62,Israel,2015,Middle East and Northern Africa,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,ISR,7.726169831,14052.18971,Asia
63,Italy,2015,Western Europe,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,ITA,5.66341448,15466.88537,Europe
64,Jamaica,2015,Latin America and Caribbean,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,JAM,2.926559762,15015.84405,Americas
65,Japan,2015,Eastern Asia,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,JPN,17.43638265,12744.81325,Asia
66,Jordan,2015,Middle East and Northern Africa,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,JOR,3.491506731,15922.33307,Asia
67,Kazakhstan,2015,Central and Eastern Europe,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,KAZ,24.90394111,14201.10824,Asia
68,Kenya,2015,Sub-Saharan Africa,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,KEN,8.995673605,14881.67771,Africa
69,Kuwait,2015,Middle East and Northern Africa,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,KWT,2.677513409,15436.60585,Asia
70,Kyrgyzstan,2015,Central and Eastern Europe,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,KGZ,12.4160149,14171.23785,Asia
71,Laos,2015,Southeastern Asia,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,LAO,10.72942237,13448.67671,Asia
72,Latvia,2015,Central and Eastern Europe,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,LVA,19.39009324,15389.57559,Europe
73,Lebanon,2015,Middle East and Northern Africa,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,LBN,2.39200795,16600.91657,Asia
74,Lesotho,2015,Sub-Saharan Africa,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,LSO,39.4179436,17505.7641,Africa
